cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_186,e9fdd00b-233a-4f4d-96d5-76b1121149d5,"Haldiram - Chana Chur, 32 Gram",chana chur,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_187,09b62f1f-26e4-4d3e-be7d-0d80468c7d88,"Haldiram - All In One, 200 Gram",all in one,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_187,0aad04d7-541b-468b-8107-4df067a82d5b,"Haldiram - All In One, 400 Gram",all in one,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_187,6ce4939a-9af5-4e29-8c2e-35cc7e59c04a,"Haldiram - All In One, Rs.20/-",all in one,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_187,fbe207e8-e4bb-4b11-9ed6-7e7948e93cea,"Haldiram - All In One, Rs.5/-",all in one,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,545eff82-b9c7-406f-a277-336234a08011,"Haldiram - Chips Mast Masala, Rs.10/-",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,55d0ff36-13e3-4f76-aec1-ece6978dc0a8,"Haldiram - Chips Mast Masala, 50 Gram",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,7ed76a03-9db2-4de9-9aa8-abfdb761bd65,"Haldiram - Chips Mast Masala, Rs.5/-",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,8b042161-f13e-4dce-9ccc-b5bf9be34b22,"Haldiram - Chips Mast Masala, 50 Gram",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,9004c257-110a-46d1-81c7-b7c158096ea9,Haldiram - Chips Mast Masala Rs.15/-,chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_188,da61952f-c7f1-44a5-9140-53e4567553e5,"Haldiram - Chips Mast Masala, 13 Gram",chips mast masala,Crunchy Snack,Crunchy Snack,Crunchy Snack
