cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
no_sisters,b70fec87-d4de-4b13-afd2-8ab6c2634e35,CORNITOS Tikka Masala 60g X 18 Case 1080 Grams,tikka masala x case,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,bea24eac-043c-452c-beac-f39c3e07422b,CORNITOS Refried Beans Pack Mashed Red Kidney Bag 175 Grams,refried beans mashed red kidney,Prepared/Preserved Foods,"Prepared, Preserved Foods",Prepared
no_sisters,c7bfd6bc-5f2a-4fe3-843d-8fe83ea7d3e8,Cornitos Jalapeno Nachos Retail Can 50 Grams,jalapeno nachos retail,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,ca4bc6a4-4867-4183-8914-5d0737e47da4,CORNITOS NACHO CRISPS CHEESE AND HERBS 30 GM,nacho crisps cheese and herbs,Cheese / Paneer / Tofu,"Cheese, Paneer, Tofu",Cheese
no_sisters,cb50d5b7-8cef-42b5-a7c4-6b2688dca86f,Cornitos Pepper And Salt Roasted Cashews Tin 40 Grams Roasted Nuts,pepper and salt roasted cashews roasted nuts,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,d8e25a08-062e-4d7f-bbd5-4cd7b0af6438,CORNITOS Classic Guacamole Tub 225 Grams,classic guacamole tub,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,d9b8727c-5377-4748-b22b-305d6572d8bf,CORNITOS Pineapple Salsa Dip -100g 100 Grams,pineapple salsa dip,Sauces/Spreads/Dips/Condiments,"Sauces, Spreads, Dips, Condiments",Sauces
no_sisters,dce509d6-5404-4add-8daa-5e4a8acf663b,Cornitos Super Seeds 200 Grams,super seeds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,e17f7181-e2a2-481e-a5b3-2abb740f36af,CORNITOS Party Mix 200g X 12 Case 2400 Grams,party mix x case rams,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,e3eb3602-5d76-4c57-9b9b-daeb57658609,Cornitos Peper & Herbs Cashew And Party Mix 400 Grams,peper herbs cashew and party mix,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,e78bb753-e465-4baa-95af-cd28d41d49f7,CORNITOS Nacho Chips- Tikka Masala 22 Grams,nacho chips tikka masala rams,Crunchy Snack,Crunchy Snack,Crunchy Snack
no_sisters,ec9b429b-ca39-421e-9c27-e93443d634a4,CORNITOS Zaatar Nachos 60g Baked And Cooked Corn Chips 60 Grams,zaatar nachos baked and cooked chips,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,ed71cd2b-8fc4-4ab3-aa47-6c90cce4bc7d,Cornitos Olives And Herbs 60 Grams,olives and herbs rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,f5395003-6387-4d13-a7cb-75f7d2838bb3,CORNITOS SIZZLIN JALAPENO Nacho Can With Cheese Dip Baked And Cooked Corn Chips 60 Grams,sizzlin jalapeno nacho with cheese dip baked and cooked chips rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,f760d52c-1b23-4220-bf68-bebe88431cfc,CORNITOS Tikka Masala No Onion Garlic 30g Nacho Crisps 30 Grams,tikka masala no onion garlic nacho crisps rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,f882da09-29e3-409e-b7e3-68046cd1afed,Cornitos Party Starter Pack For Amstel 30 Grams,party starter for amstel,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,fc2bf3bc-8c52-4c8f-9a1e-cd5d97ece657,Cornitos Roasted Cashew 30 Grams,roasted cashew rams,Crunchy Snack,Crunchy Snack,Crunchy Snack
no_sisters,fc95905a-2341-4a0c-8d04-63c33b8c285b,CORNITOS Wasabi Nachos X 16 BAKED AND FRIED CORN CHIPS 2400 Grams,wasabi nachos x baked and fried chips,Sweets/Snacks,"Sweets, Snacks",Sweets
